casualty_id;disaster_id;national_id;anonymous;dob;dob_estimated;age;sex;dependents;occupation;nationality;displaced;affected;injured;missing;dead;disability_before;disability_after;replay
a3bb5fb6-551e-4b9d-a184-2c86937a9b68;proactive;web-readiness;true;2022-03-09T19:42:01;true;95206;UNKNOWN;98367;Implementation;Consultant Orchestrator program;true;false;true;false;true;false;false;false
25b0f8e4-4314-416e-ba7c-3dbb0685df27;Regional;invoice PCI navigating;false;2022-03-09T18:32:07;true;84099;MALE;47622;Circles;Arkansas capacitor;true;true;false;true;true;true;true;true
229aa5a3-aeae-4f0a-a0f4-f995df12abc9;interface circuit;Village;false;2022-03-09T10:04:46;true;80973;MALE;5072;Handmade;Lesotho Movies Savings;false;false;true;true;false;false;true;true
183a9f38-f90e-459c-bc2f-e42ef2c89562;Agent;French;false;2022-03-09T22:09:43;true;71562;MALE;16783;Product bricks-and-clicks;Ball green;true;true;false;true;true;true;true;false
9e67a742-86fd-4c96-8f65-0f056488175a;Cotton granular Concrete;Berkshire SCSI Outdoors;true;2022-03-09T22:46:26;false;24698;FEMALE;30307;Gorgeous Group Ball;Florida of;true;true;true;false;true;true;true;false
d4816650-846c-4b8b-b0e3-27f030c0bc35;Buckinghamshire;connect;true;2022-03-09T08:42:21;false;74946;FEMALE;4277;e-business;TCP 1080p;false;true;true;true;true;false;true;false
ef949b60-5dec-45bf-8a6d-d91410be77a2;synergize Croatia program;XML mint digital;false;2022-03-09T10:51:50;true;53257;MALE;30255;sticky ADP bypassing;deposit;false;false;false;false;true;true;true;true
ac2b5a14-2095-4413-a45e-dce623061867;Garden neural;payment Soap;false;2022-03-10T08:38:11;true;57275;FEMALE;87854;Card cross-platform;secondary web-enabled;true;true;false;true;true;false;true;true
b8676aa1-9b3b-4256-8e1e-41aee47185e6;generate;National;false;2022-03-10T07:26:58;true;14630;MALE;87549;Arkansas indexing;wireless Expressway Account;false;false;false;false;true;true;false;true
75976f5f-14b3-43d6-9629-ec980233ec34;Illinois feed Total;SCSI Home Chicken;true;2022-03-09T10:48:20;false;68664;UNKNOWN;52486;transmit Awesome Outlying;orange Indiana Gloves;false;false;true;false;true;false;true;false
